,country,region,year,human_freedom_index,environmetal_performance_index,ecosystem_vitality,environmental_health
0,Argentina,america,2020,53.1,52.2,46.8,60.2
1,Barbados,america,2020,61.4,45.6,35.6,60.7
2,Belize,america,2020,57.4,41.9,43.0,40.3
3,Bolivia,america,2020,42.8,44.3,49.8,35.9
4,Brazil,america,2020,53.7,51.2,52.2,49.7
5,Canada,america,2020,78.2,71.0,57.3,91.7
6,Chile,america,2020,76.8,55.3,49.8,63.4
7,Colombia,america,2020,69.2,52.9,51.6,55.0
8,Costa Rica,america,2020,65.8,52.5,47.2,60.5
9,Cuba,america,2020,26.9,48.4,47.0,50.5
10,Dominica,america,2020,60.8,44.6,43.1,46.8
11,Dominican Republic,america,2020,60.9,46.3,53.2,36.1
12,Ecuador,america,2020,51.3,51.0,51.5,50.2
13,El Salvador,america,2020,61.6,43.1,43.5,42.5
14,Guatemala,america,2020,64.0,31.8,32.5,30.8
15,Guyana,america,2020,56.2,35.9,37.5,33.5
16,Haiti,america,2020,52.3,27.0,30.5,21.8
17,Honduras,america,2020,61.1,37.8,40.7,33.4
18,Jamaica,america,2020,68.5,48.2,50.0,45.5
19,Mexico,america,2020,66.0,52.6,55.9,47.5
20,Nicaragua,america,2020,57.2,39.2,38.6,40.2
21,Panama,america,2020,67.2,47.3,45.2,50.4
22,Paraguay,america,2020,63.0,46.4,46.2,46.8
23,Peru,america,2020,67.9,44.0,43.2,45.1
24,Saint Lucia,america,2020,68.2,43.1,40.0,47.8
25,Saint Vincent and the Grenadines,america,2020,66.8,48.4,51.3,44.1
26,Suriname,america,2020,49.5,45.2,50.9,36.6
27,The Bahamas,america,2020,64.5,43.5,37.0,53.1
28,Trinidad and Tobago,america,2020,58.3,47.5,42.9,54.6
29,United States,america,2020,76.6,69.3,60.3,82.8
30,Uruguay,america,2020,69.1,49.1,36.7,67.7
31,Venezuela,america,2020,25.2,50.3,52.9,46.5
32,Afghanistan,asia-pacific,2020,54.7,25.5,29.2,20.0
33,Australia,asia-pacific,2020,82.6,74.9,63.8,91.6
34,Bangladesh,asia-pacific,2020,56.4,29.0,33.5,22.4
35,Bhutan,asia-pacific,2020,62.1,39.3,45.7,29.8
36,Brunei Darussalam,asia-pacific,2020,66.6,54.8,42.0,74.0
37,Burma,asia-pacific,2020,54.0,25.1,25.4,24.6
38,Cambodia,asia-pacific,2020,57.3,33.6,35.6,30.5
39,China,asia-pacific,2020,59.5,37.3,34.4,41.8
40,Fiji,asia-pacific,2020,63.4,34.4,34.2,34.7
42,India,asia-pacific,2020,56.5,27.6,35.2,16.3
43,Indonesia,asia-pacific,2020,67.2,37.8,43.7,29.0
44,Japan,asia-pacific,2020,73.3,75.1,65.1,90.3
