Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Angola,2020,52.2,36.9,14.3,15.1,87.3,85.7,71.9,57.7,61.1,59.6,66.2,30.0,40.0
Benin,2020,55.2,41.3,36.4,29.6,69.0,84.2,46.6,58.0,53.7,84.3,49.4,60.0,50.0
Botswana,2020,69.6,60.9,45.2,46.4,87.0,69.1,97.5,69.3,68.2,73.6,82.8,65.0,70.0
Burkina Faso,2020,56.7,46.9,42.6,34.1,81.3,77.0,49.2,47.6,52.1,82.4,61.8,65.0,40.0
Burundi,2020,49.0,24.9,26.9,22.3,73.7,85.8,13.2,55.1,67.4,70.3,68.2,50.0,30.0
Cabo Verde,2020,63.6,47.5,48.0,46.1,77.7,71.7,66.2,58.5,55.6,83.1,68.2,80.0,60.0
Cameroon,2020,53.6,45.3,30.8,20.8,74.8,88.3,63.7,46.0,50.1,84.1,59.6,30.0,50.0
Central African Republic,2020,50.7,38.1,31.7,24.3,65.5,93.5,95.3,24.3,40.4,73.3,47.2,45.0,30.0
Chad,2020,50.2,32.4,27.4,15.1,45.8,93.5,95.6,26.8,43.0,76.1,47.2,60.0,40.0
Comoros,2020,53.7,43.1,31.7,23.8,63.6,73.6,85.0,47.8,60.3,81.7,59.2,45.0,30.0
"Côte d'Ivoire ",2020,59.7,48.5,33.0,25.5,77.8,82.5,66.9,62.3,49.2,75.7,69.4,75.0,50.0
Democratic Republic of Congo,2020,49.5,30.1,26.5,13.1,74.4,95.4,98.0,51.2,41.6,49.6,64.6,30.0,20.0
Djibouti,2020,52.9,58.8,31.7,25.5,75.3,53.6,10.9,62.3,60.6,76.5,49.8,80.0,50.0
Equatorial Guinea,2020,48.3,38.1,19.5,15.1,75.1,86.4,77.2,37.5,34.2,78.1,48.8,40.0,30.0
Eritrea,2020,38.5,32.5,14.3,21.4,81.4,74.7,0.0,18.2,69.7,61.0,69.2,0.0,20.0
Eswatini,2020,55.3,49.8,42.4,37.2,72.8,62.8,17.6,58.9,67.9,75.2,88.6,50.0,40.0
Ethiopia,2020,53.6,36.5,45.1,29.4,77.4,90.8,79.2,48.6,57.6,62.7,60.8,35.0,20.0
Gabon,2020,56.7,36.9,20.8,36.7,74.3,89.3,88.9,52.1,52.3,77.3,51.2,60.0,40.0
Ghana,2020,59.4,52.5,46.1,32.2,78.4,88.1,35.6,58.4,59.3,68.9,63.8,70.0,60.0
Guinea,2020,56.5,38.7,33.3,16.1,70.0,91.4,93.8,55.4,58.0,70.6,60.4,50.0,40.0
Guinea-Bissau,2020,53.3,41.3,48.4,14.8,88.7,86.7,67.3,39.1,61.2,82.7,49.0,30.0,30.0
Kenya,2020,55.3,63.2,48.6,28.2,78.7,79.6,13.5,55.0,55.8,75.0,60.4,55.0,50.0
Lesotho,2020,54.5,45.2,47.0,29.6,73.0,34.4,60.3,52.8,58.8,75.7,82.2,55.0,40.0
Liberia,2020,49.0,31.1,37.9,23.8,86.1,65.5,59.7,48.2,38.2,62.1,60.6,55.0,20.0
Madagascar,2020,60.5,45.6,39.6,25.0,90.7,91.5,90.6,47.3,44.6,72.7,73.6,55.0,50.0
Malawi,2020,52.8,43.1,42.1,24.8,79.0,71.7,23.6,41.9,62.8,69.1,75.4,50.0,50.0
Mali,2020,55.9,36.1,32.7,20.7,69.2,85.8,73.6,49.2,52.2,81.6,65.0,65.0,40.0
Mauritania,2020,55.3,32.5,20.8,21.9,80.9,76.4,85.9,61.7,51.3,79.6,62.6,50.0,40.0
Mauritius,2020,74.9,75.8,62.6,53.3,91.5,82.1,79.3,82.5,60.2,73.8,88.2,80.0,70.0
"Mozambique ",2020,50.5,34.9,31.7,23.2,74.1,69.6,40.3,55.3,41.7,72.0,78.0,35.0,50.0
Namibia,2020,60.9,58.9,58.5,46.0,65.7,58.1,28.7,65.6,84.9,75.9,83.2,65.0,40.0
Niger,2020,54.7,45.6,42.6,33.4,76.7,79.0,44.7,55.4,47.9,74.8,61.2,55.0,40.0
Nigeria,2020,57.2,38.1,32.2,22.3,85.1,96.2,64.1,54.7,84.0,61.7,62.4,45.0,40.0
"Republic of Congo ",2020,41.8,40.7,30.0,23.1,63.3,56.2,0.6,37.5,35.3,83.2,56.8,45.0,30.0
Rwanda,2020,70.9,76.5,78.3,57.6,79.2,79.8,86.7,60.3,81.8,79.8,70.4,60.0,40.0
"São Tomé and Príncipe ",2020,56.2,41.0,26.5,37.4,88.3,77.1,73.0,64.8,43.4,68.1,64.2,60.0,30.0
Senegal,2020,58.0,52.4,39.8,40.6,70.2,84.4,75.2,50.4,38.1,79.7,65.4,60.0,40.0
Seychelles,2020,64.3,68.3,46.4,53.3,76.8,58.9,93.2,65.3,62.8,78.6,82.6,55.0,30.0
Sierra Leone,2020,48.0,40.7,39.4,21.8,87.5,83.5,9.8,50.1,29.7,64.2,69.4,60.0,20.0
Somalia,2020,N/A,20.1,26.5,13.1,N/A,N/A,N/A,31.6,N/A,N/A,N/A,N/A,N/A
South Africa,2020,58.8,58.4,38.0,46.6,63.7,67.4,64.0,62.0,58.8,75.9,75.8,45.0,50.0
Sudan,2020,45.0,33.7,20.8,25.5,86.1,94.5,12.4,53.5,60.0,77.0,52.0,5.0,20.0
Tanzania,2020,61.7,41.9,43.4,32.5,80.6,91.6,92.9,45.9,66.4,72.2,67.8,55.0,50.0
The Gambia,2020,56.3,43.9,43.4,39.2,74.6,85.6,25.3,53.5,67.4,63.3,64.6,65.0,50.0
Togo,2020,54.1,41.6,31.7,31.2,67.5,78.6,59.4,55.0,46.9,79.5,63.2,65.0,30.0
Uganda,2020,59.5,45.6,36.9,21.4,80.3,88.4,64.3,46.0,83.1,78.0,75.4,55.0,40.0
Zambia,2020,53.5,45.2,31.3,28.4,73.2,81.7,18.4,66.4,47.0,72.2,72.6,55.0,50.0
Zimbabwe,2020,43.1,33.7,28.3,18.9,62.3,88.0,36.2,39.1,43.1,62.8,70.0,25.0,10.0
