Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Albania,2020,66.9,57.1,33.0,38.8,85.9,74.6,86.3,65.7,52.1,81.2,88.4,70.0,70.0
Armenia,2020,70.6,60.7,54.1,43.4,84.9,80.6,68.8,81.0,72.5,76.0,80.6,75.0,70.0
Austria,2020,73.3,87.3,73.2,84.0,51.3,27.2,87.9,73.0,68.3,81.0,86.4,90.0,70.0
Azerbaijan,2020,69.3,67.1,53.9,38.7,88.0,63.0,99.2,80.8,66.2,69.8,74.6,70.0,60.0
Belarus,2020,61.7,63.2,48.4,37.4,88.8,54.1,95.4,76.4,74.8,69.8,82.0,30.0,20.0
Belgium,2020,68.9,84.5,62.5,80.2,46.7,17.2,77.0,75.2,61.1,80.5,86.4,85.0,70.0
Bosnia and Herzegovina,2020,62.6,44.4,33.9,41.8,83.6,49.3,97.3,45.7,67.4,82.7,80.0,65.0,60.0
Bulgaria,2020,70.2,64.2,45.4,44.2,90.3,66.1,99.2,62.6,68.1,85.7,86.4,70.0,60.0
Croatia,2020,62.2,69.9,39.6,51.0,65.9,34.7,89.1,53.6,44.0,77.6,86.4,75.0,60.0
Cyprus,2020,70.1,77.4,50.5,57.6,74.8,58.6,80.0,76.6,59.7,84.3,86.4,75.0,60.0
Czech Republic,2020,74.8,76.8,49.9,64.2,82.0,52.7,97.8,69.7,77.6,80.8,86.4,80.0,80.0
Denmark,2020,78.3,86.3,84.6,93.0,42.0,19.7,97.7,88.7,86.2,84.6,86.4,90.0,80.0
Estonia,2020,77.7,83.2,73.7,85.9,81.1,53.3,99.9,73.5,57.3,78.6,86.4,90.0,70.0
Finland,2020,75.7,92.3,80.5,96.1,67.5,11.2,90.7,84.8,50.3,83.6,86.4,85.0,80.0
