Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Algeria,2020,46.9,37.9,35.0,28.3,75.4,52.6,17.3,63.0,50.5,76.2,66.2,30.0,30.0
Bahrain,2020,66.3,70.6,48.4,51.0,99.4,66.1,2.6,70.5,71.1,81.1,79.4,75.0,80.0
Egypt,2020,54.0,48.5,51.2,34.0,86.1,69.9,2.8,62.0,51.5,61.3,70.2,60.0,50.0
Iran,2020,49.2,36.9,37.1,33.5,81.0,89.2,86.5,57.3,50.7,49.0,54.6,5.0,10.0
Iraq,2020,N/A,43.9,11.2,20.8,N/A,59.5,76.6,52.6,44.8,76.4,N/A,N/A,N/A
Israel,2020,74.0,82.3,71.8,77.2,61.0,53.5,89.2,72.2,64.4,84.9,86.2,75.0,70.0
Jordan,2020,66.0,64.8,54.6,49.6,91.8,73.5,55.9,60.1,52.5,77.6,81.2,70.0,60.0
Kuwait,2020,63.2,57.1,47.0,46.0,97.7,22.4,99.6,61.3,62.2,73.2,76.4,55.0,60.0
Lebanon,2020,51.7,44.6,30.8,25.0,90.8,72.5,0.0,45.6,47.8,75.6,77.4,60.0,50.0
Libya,2020,N/A,30.1,20.8,18.9,N/A,0.0,N/A,40.7,53.9,53.6,N/A,5.0,N/A
Morocco,2020,63.3,66.3,48.0,39.2,71.8,72.8,67.2,70.4,33.0,77.0,78.6,65.0,70.0
Oman,2020,63.6,66.4,66.2,64.6,98.4,36.2,14.8,74.6,56.9,78.4,81.6,65.0,60.0
Qatar,2020,72.3,66.9,58.7,64.6,99.8,64.6,93.7,71.1,65.9,80.6,81.6,60.0,60.0
Saudi Arabia,2020,62.4,64.6,72.3,49.6,99.8,61.8,19.3,66.6,63.3,81.0,75.4,45.0,50.0
Syria,2020,N/A,45.6,20.8,21.9,N/A,N/A,N/A,48.9,59.3,58.8,51.6,0.0,N/A
Tunisia,2020,55.8,56.4,43.6,39.7,74.2,73.1,38.8,78.1,49.8,73.9,66.4,45.0,30.0
United Arab Emirates,2020,76.2,80.3,84.6,64.6,99.2,72.1,94.1,78.6,81.3,79.6,80.4,40.0,60.0
Yemen,2020,N/A,22.5,20.1,21.9,N/A,96.5,60.1,43.9,43.8,42.6,70.0,50.0,N/A
Algeria,2019,46.2,31.6,36.2,28.9,76.4,48.7,18.7,61.6,49.9,74.9,67.4,30.0,30.0
Bahrain,2019,66.4,63.5,50.7,53.6,99.7,62.7,3.7,71.4,71.1,81.6,83.8,75.0,80.0
Egypt,2019,52.5,37.0,48.3,29.2,85.2,68.1,0.0,65.9,51.6,62.3,71.8,60.0,50.0
Iran,2019,51.1,33.5,41.3,35.0,80.9,89.8,89.5,62.2,50.7,60.1,54.6,5.0,10.0
Iraq,2019,N/A,37.0,12.3,20.3,N/A,52.8,13.3,54.4,53.1,81.4,N/A,N/A,N/A
Israel,2019,72.8,80.0,73.4,67.9,61.9,52.4,85.3,71.4,65.1,86.2,84.4,75.0,70.0
Jordan,2019,66.5,58.4,52.6,50.3,91.4,73.4,60.6,61.8,52.7,85.0,81.4,70.0,60.0
Kuwait,2019,60.8,52.9,43.3,35.3,97.7,17.3,99.1,57.4,61.7,70.6,79.0,55.0,60.0
Lebanon,2019,51.1,39.5,26.6,18.2,91.8,75.6,0.0,47.9,46.5,78.1,79.0,60.0,50.0
Libya,2019,N/A,7.6,24.4,15.8,N/A,0.0,20.0,40.2,51.3,52.8,N/A,5.0,N/A
Morocco,2019,62.9,57.2,47.1,39.2,72.2,72.7,66.9,70.3,33.1,83.5,77.4,65.0,70.0
Oman,2019,61.0,58.1,51.6,53.8,97.8,32.5,16.1,75.2,57.3,77.7,87.0,65.0,60.0
Qatar,2019,72.6,64.5,60.0,77.4,99.7,56.8,94.0,71.2,65.9,78.4,83.2,60.0,60.0
Saudi Arabia,2019,60.7,55.0,62.7,49.8,99.8,57.5,19.4,72.3,63.3,78.1,76.0,45.0,50.0
Syria,2019,N/A,37.0,24.4,20.3,N/A,N/A,N/A,49.6,58.2,48.3,47.0,0.0,N/A
Tunisia,2019,55.4,49.2,42.7,36.6,74.4,74.4,37.9,76.7,50.3,76.0,71.4,45.0,30.0
United Arab Emirates,2019,77.6,81.8,87.1,78.8,99.2,68.8,88.9,79.9,81.1,80.9,84.4,40.0,60.0
Yemen,2019,N/A,19.6,22.2,20.3,N/A,83.7,0.0,45.1,49.8,61.5,71.4,50.0,N/A
Algeria,2018,44.7,27.8,35.2,29.0,74.0,45.9,19.2,68.1,48.7,69.9,63.5,25.0,30.0
Bahrain,2018,67.7,62.1,55.1,51.8,99.9,66.4,6.5,75.5,76.5,79.9,83.4,75.0,80.0
Egypt,2018,53.4,32.7,52.5,32.2,84.2,65.1,1.2,71.5,51.5,69.6,70.9,60.0,50.0
Iran,2018,50.9,32.5,35.3,32.6,81.0,91.1,91.7,64.3,58.2,59.8,54.5,0.0,10.0
Iraq,2018,N/A,36.7,11.4,23.4,N/A,45.4,11.9,59.1,69.8,79.2,N/A,N/A,N/A
Israel,2018,72.2,78.2,83.1,61.2,60.9,51.8,79.0,71.8,65.1,85.3,85.5,75.0,70.0
Jordan,2018,64.9,57.6,57.3,51.9,92.4,69.4,27.7,63.0,58.9,88.7,82.0,70.0,60.0
Kuwait,2018,62.2,52.0,53.5,36.6,97.7,20.5,99.3,57.2,61.5,73.7,79.1,55.0,60.0
Lebanon,2018,53.2,39.7,33.6,20.2,91.9,78.2,0.0,48.8,44.2,81.9,84.5,65.0,50.0
Libya,2018,N/A,5.2,22.1,23.1,90.5,0.0,19.9,63.5,45.9,56.2,80.0,5.0,N/A
Morocco,2018,61.9,53.8,44.3,41.3,70.5,70.5,60.6,69.6,36.0,82.3,79.4,65.0,70.0
Oman,2018,61.0,59.5,57.4,51.5,98.5,25.0,17.7,76.3,55.2,79.2,86.2,65.0,60.0
Qatar,2018,72.6,70.3,59.8,71.6,99.6,60.2,95.4,71.3,65.4,75.0,83.3,60.0,60.0
Saudi Arabia,2018,59.6,53.1,60.2,49.9,99.7,52.0,19.7,74.0,64.8,73.8,78.2,40.0,50.0
Syria,2018,N/A,36.7,22.1,23.1,N/A,N/A,13.8,61.8,59.2,44.2,56.6,0.0,N/A
Tunisia,2018,58.9,49.4,41.7,36.8,73.0,75.5,61.6,81.4,52.9,77.2,82.1,45.0,30.0
United Arab Emirates,2018,77.6,76.3,83.4,77.3,98.4,70.9,99.0,79.9,81.1,80.2,84.3,40.0,60.0
Yemen,2018,N/A,17.9,16.6,21.2,N/A,80.9,5.4,52.7,52.1,66.6,N/A,50.0,N/A
Algeria,2017,46.5,38.2,29.6,31.7,81.1,51.0,19.8,62.1,49.5,67.0,63.3,35.0,30.0
Bahrain,2017,68.5,64.2,53.7,55.5,99.9,69.8,12.0,69.4,78.7,80.7,82.8,75.0,80.0
Egypt,2017,52.6,35.4,56.3,32.7,86.1,63.0,4.6,66.8,51.3,69.6,70.2,55.0,40.0
Iran,2017,50.5,32.4,36.0,29.6,81.1,92.7,94.9,64.8,54.5,55.5,54.5,0.0,10.0
Iraq,2017,N/A,37.3,15.9,19.1,N/A,36.1,11.3,61.2,68.0,76.9,N/A,N/A,N/A
Israel,2017,69.7,71.9,82.0,47.6,61.0,50.5,71.8,69.9,64.3,84.9,88.0,75.0,70.0
Jordan,2017,66.7,60.1,49.5,49.8,91.3,73.3,55.5,63.9,58.1,86.7,82.0,70.0,60.0
Kuwait,2017,65.1,55.5,56.4,41.3,97.7,40.8,99.8,61.2,61.5,73.6,78.7,55.0,60.0
Lebanon,2017,53.3,43.8,25.3,23.3,91.8,76.1,0.0,51.5,49.5,78.4,84.4,65.0,50.0
Libya,2017,N/A,6.8,22.6,26.7,95.0,0.0,11.4,65.0,52.5,69.2,80.0,N/A,N/A
Morocco,2017,61.5,55.0,41.9,37.1,71.7,69.4,55.0,67.7,33.8,82.7,84.0,70.0,70.0
Oman,2017,62.1,60.8,52.3,47.6,98.5,20.5,36.3,68.4,70.3,80.6,85.2,65.0,60.0
Qatar,2017,73.1,74.8,63.0,59.0,99.6,71.2,97.4,68.1,65.4,80.6,83.1,55.0,60.0
Saudi Arabia,2017,64.4,62.0,65.0,45.9,99.7,54.5,65.7,73.8,68.5,70.1,78.2,40.0,50.0
Syria,2017,N/A,37.3,22.6,30.0,N/A,N/A,0.0,66.4,55.7,N/A,56.6,N/A,N/A
Tunisia,2017,55.7,49.6,39.9,37.3,73.7,73.4,53.4,80.6,56.1,75.9,63.8,35.0,30.0
United Arab Emirates,2017,76.9,76.7,85.0,74.2,96.4,67.4,99.2,81.1,80.9,78.4,83.5,40.0,60.0
Yemen,2017,N/A,37.3,22.6,17.4,N/A,77.2,10.6,51.4,54.2,59.7,N/A,N/A,N/A
Algeria,2016,50.1,25.0,N/A,36.0,81.0,59.4,N/A,62.1,48.2,68.1,60.8,30.0,30.0
Bahrain,2016,74.3,60.0,N/A,49.0,99.9,75.4,N/A,71.9,79.1,74.6,82.6,70.0,80.0
Egypt,2016,56.0,20.0,N/A,37.0,85.6,65.9,N/A,68.3,51.4,65.8,70.6,55.0,40.0
Iran,2016,43.5,10.0,N/A,27.0,81.2,93.2,N/A,59.3,49.0,50.6,54.6,0.0,10.0
Iraq,2016,N/A,N/A,N/A,16.0,N/A,29.7,N/A,63.2,68.5,75.0,N/A,N/A,N/A
Israel,2016,70.7,75.0,N/A,60.0,60.6,48.8,N/A,70.6,64.6,84.2,88.2,85.0,70.0
Jordan,2016,68.3,60.0,N/A,49.0,91.7,62.0,N/A,64.9,68.4,83.1,73.4,70.0,60.0
